_id;Straße;Restabfall;Biotonne;Papiertonne;Gelber Sack;Grünschnitt;Kehrtag
2;Abteistraße;2;3;8;3;3;
3;Achterrathsheideweg;6;1;3;6;1;
4;Ackerstraße;1;4;6;2;4;
6;Adam-Riese-Straße;2;3;4;2;3;
7;Adlerstraße;3;2;8;3;2;
8;Adolf-Krummacher-Straße;2;3;17;3;3;
9;Agnesstraße;6;1;3;6;1;
10;Ahornstraße;6;2;1;6;2;
11;Akazienstraße;6;2;1;6;2;
12;Albert-Altwicker-Straße;8;10;19;5;10;
13;Albert-Schweitzer-Straße;6;1;3;6;1;
14;Albertstraße;6;1;3;6;1;
15;Alexander-Bell-Straße;4;9;14;3;9;
16;Alexander-Fleming-Weg;6;1;3;6;1;
17;Alexanderstraße;7;5;13;2;5;
18;Alex-Nöthen-Weg;9;6;7;1;6;
19;Alfredstraße;7;5;7;2;5;
20;Allmendestraße;4;9;20;4;9;
21;Alsenstraße;9;8;9;1;8;
22;Altdorferstraße;1;4;2;2;4;
23;Altenbruchstraße;1;4;6;2;4;
24;Alt-Hasselt-Straße;9;8;9;1;8;
25;Altmarkt;3;3;8;3;3;
26;Am Abelshof;4;9;18;3;9;
27;Am Achterrathshof;6;1;3;6;1;
28;Am Agnetenhof;6;2;1;6;2;
29;Am Anger;8;8;15;5;8;
30;Am Bahndamm;7;6;7;2;6;
31;Am Bendmannsfeld;6;1;3;6;1;
32;Am Boschhof;8;10;19;5;10;
33;Am Brink;6;2;3;6;2;
34;Am Burgfeld;1;4;4;2;4;
35;Am Domacker;1;4;2;2;4;
36;Am Dorsterhof;6;1;14;6;1;
37;Am Eulendyck;6;1;3;6;1;
38;Am Feldrain;10;9;11;4;9;
39;Am Fonderschen;3;2;14;3;2;
40;Am Förtgesgraben;6;1;1;6;1;
41;Am Frankenfeld;8;10;11;5;10;
43;Am Fünderich;3;10;16;3;10;
44;Am Geldermannshof;7;5;7;2;5;
45;Am Gerdtbach;5;7;12;5;7;
46;Am Hasloth;10;9;11;4;9;
47;Am Heckmannshof;3;2;14;3;2;
48;Am Heiligen Berg;1;4;2;2;4;
49;Am Holderstrauch;6;2;1;6;2;
50;Am Holtmannshof;6;2;1;6;2;
51;Am Hühnerort;7;5;4;3;5;
52;Am Hülsdonker Busch;3;2;14;3;2;
53;Am Impler Berg;10;10;20;4;10;
54;Am Jostenhof;3;2;14;3;2;
55;Am Jungbornpark;4;9;18;4;9;
56;Am Klömpkenshof;6;2;1;6;2;
57;Am Kolk;4;9;18;4;9;
58;Am Krähenacker;5;7;12;5;7;
59;Am Meerholz;4;9;18;4;9;
60;Am Meetschenhof;8;10;19;5;10;
61;Am Moersbach;4;9;18;4;9;
62;Am Mönk;4;9;18;3;9;
63;Am Mühlenteich;10;9;11;4;9;
64;Am Neukirchener Kanal;3;1;14;6;1;
65;Am Pandyck;7;5;13;2;5;
66;Am Pannenhof;7;5;13;2;5;
67;Am Pattberg;10;10;20;4;10;
68;Am Peschkenhof;3;1;14;6;1;
69;Am Peterhof;6;2;1;6;2;
70;Am Schrapershof;1;4;6;2;4;
71;Am Schürmannshütt;3;2;14;3;2;
72;Am Sportpark;7;3;4;2;3;
73;Am Sportzentrum;10;9;11;4;9;
74;Am Steinbrink;1;4;6;2;4;
75;Am Utforter Graben;8;10;19;5;10;
76;Am Viegenhof;10;9;11;4;9;
77;Am Vinnbusch;1;4;6;2;4;
78;Am Vutzhof;8;10;19;5;10;
79;Am Weidenbruch;6;1;3;6;1;
80;Am Wiesengrund;6;1;3;6;1;
81;Am Wolfsberg;9;7;7;1;7;
82;Amalienstraße;6;1;3;6;1;
83;Amselstraße;4;9;18;4;9;
84;An den Eichen;8;10;19;5;10;
85;An den Hornbuchen;4;9;18;4;9;
86;An der Beeke;5;7;12;5;7;
87;An der Berufsschule;2;3;17;3;3;
88;An der Halde;9;8;9;1;8;
89;An der Hees;10;9;11;4;9;
90;An der Linde;4;9;18;4;9;
91;An der neuen Mühle;6;1;14;6;1;
92;An der Sandkull;4;9;20;4;9;
93;An der Schneckull;4;9;11;4;9;
94;An Hoffmanns Büschken;3;2;14;3;2;
95;Andreasstraße;1;4;4;2;4;
96;Anemonenweg;6;1;3;6;1;
97;Anglerstraße;4;9;18;4;9;
98;Annabergstraße;9;8;9;1;8;
99;Annastraße;2;3;4;2;3;
100;Anrathsmünde;10;10;20;4;10;
101;Antoniastraße;2;3;4;2;3;
102;Antoniusstraße;7;5;4;2;5;
103;Arminiusstraße;7;5;4;2;5;
104;Arnikaweg;8;10;19;5;10;
105;Arnulfstraße;3;2;8;3;2;
106;Asberger Straße;0;0;0;0;0;1
108;Asdonkshofstraße;10;10;20;4;10;
109;Asterlager Straße;1;5;4;2;5;
110;Asternstraße;6;1;3;6;1;
111;Aubruchsweg;6;2;1;6;2;
112;Auf dem Berg;7;5;7;2;5;
113;Auf dem Hügel;9;7;7;1;7;
114;Auf der Düne;1;4;2;2;4;
115;Auf der Wehm;6;1;3;6;1;
116;Augustastraße;2;3;17;3;3;
117;August-Macke-Straße;6;1;3;6;1;
118;Averdunkshof;2;3;5;3;3;
119;Azaleenweg;4;9;20;4;9;
120;Baerler Straße;2;3;16;1;3;
121;Baggerstraße;9;10;15;4;10;
122;Bahnenstraße;5;7;12;5;7;
123;Bahnhofstraße;6;1;3;6;1;
124;Bankstraße;2;3;16;3;3;
126;Barbarastraße;9;8;9;1;8;
127;Bataverstraße;8;10;19;5;10;
128;Baudenstraße;8;10;19;5;10;
129;Baumstraße;8;10;19;5;10;
130;Baustraße;2;3;16;1;3;
131;Beckerathsweg;4;10;14;3;10;
132;Beckers Kull;10;9;11;4;9;
133;Beethovenstraße;6;1;3;6;1;
134;Begonienstraße;6;1;3;6;1;
135;Behringweg;2;3;5;3;3;
136;Bendmannstraße;6;1;3;6;1;
137;Bergahornstraße;5;6;13;5;6;
138;Bergheideweg;6;2;1;6;2;
139;Bergheimer Straße;1;4;4;2;4;
140;Bergstraße;7;6;7;2;6;
142;Bergwerkstraße;8;10;15;1;10;
143;Bernhardstraße;6;1;3;6;1;
144;Bernsbergerstraße;9;10;15;4;10;
145;Bernsteinstraße;10;9;11;4;9;
146;Bernsweg;4;9;14;3;9;
147;Bertastraße;4;9;14;3;9;
148;Bert-Brecht-Straße;6;1;3;6;1;
149;Bethanienstraße;3;10;16;3;10;
150;Bettenkamper Weg;6;1;14;6;1;
151;Beuthener Straße;9;8;9;1;8;
152;Billstraße;10;10;20;4;10;
153;Birkenpaschhof;3;2;14;3;2;
154;Birkenstraße;6;2;1;6;2;
155;Birnenstraße;4;9;18;4;9;
156;Bismarckstraße;9;8;9;1;8;
158;Blücherstraße;9;7;12;5;7;
160;Blumenstraße;2;3;5;3;3;
161;Boberstraße;8;10;19;5;10;
162;Böckstraße;4;9;18;4;9;
163;Bogenstraße;2;3;4;3;3;
164;Böllerschenweg;3;1;14;6;1;
165;Boltenschütt;6;3;5;3;3;
166;Bonifatiusstraße;7;5;4;2;5;
167;Boschheideweg;6;2;1;6;2;
168;Brahmsstraße;6;1;3;6;1;
169;Breslauer Straße;9;7;9;1;7;
170;Breuelstraße;10;10;20;4;10;
