_id;Straße;Restabfall;Biotonne;Papiertonne;Gelber Sack;Grünschnitt;Kehrtag
1;Abteistraße;2;3;8;3;3;
2;Achterrathsheideweg;6;1;3;6;1;
3;Ackerstraße;1;4;6;2;4;
4;Adam-Riese-Straße;2;3;4;2;3;
5;Adlerstraße;3;2;8;3;2;
6;Adolf-Krummacher-Straße;2;3;17;3;3;
7;Agnesstraße;6;1;3;6;1;
8;Ahornstraße;6;2;1;6;2;
9;Akazienstraße;6;2;1;6;2;
10;Albert-Altwicker-Straße;8;10;19;5;10;
11;Albert-Schweitzer-Straße;6;1;3;6;1;
12;Albertstraße;6;1;3;6;1;
13;Alexander-Bell-Straße;4;9;14;3;9;
14;Alexander-Fleming-Weg;6;1;3;6;1;
15;Alexanderstraße;7;5;13;2;5;
16;Alex-Nöthen-Weg;9;6;7;1;6;
17;Alfredstraße;7;5;7;2;5;
18;Allmendestraße;4;9;20;4;9;
19;Alsenstraße;9;8;9;1;8;
20;Altdorferstraße;1;4;2;2;4;
21;Altenbruchstraße;1;4;6;2;4;
22;Alt-Hasselt-Straße;9;8;9;1;8;
23;Altmarkt;3;3;8;3;3;
24;Am Abelshof;4;9;18;3;9;
25;Am Achterrathshof;6;1;3;6;1;
26;Am Agnetenhof;6;2;1;6;2;
27;Am Anger;8;8;15;5;8;
28;Am Bahndamm;7;6;7;2;6;
29;Am Bendmannsfeld;6;1;3;6;1;
30;Am Boschhof;8;10;19;5;10;
31;Am Brink;6;2;3;6;2;
32;Am Burgfeld;1;4;4;2;4;
33;Am Domacker;1;4;2;2;4;
34;Am Dorsterhof;6;1;14;6;1;
35;Am Eulendyck;6;1;3;6;1;
36;Am Feldrain;10;9;11;4;9;
37;Am Fonderschen;3;2;14;3;2;
38;Am Förtgesgraben;6;1;1;6;1;
39;Am Frankenfeld;8;10;11;5;10;
40;Am Fünderich;3;10;16;3;10;
41;Am Geldermannshof;7;5;7;2;5;
42;Am Gerdtbach;5;7;12;5;7;
43;Am Hasloth;10;9;11;4;9;
44;Am Heckmannshof;3;2;14;3;2;
45;Am Heiligen Berg;1;4;2;2;4;
46;Am Holderstrauch;6;2;1;6;2;
47;Am Holtmannshof;6;2;1;6;2;
48;Am Hühnerort;7;5;4;3;5;
49;Am Hülsdonker Busch;3;2;14;3;2;
50;Am Impler Berg;10;10;20;4;10;
51;Am Jostenhof;3;2;14;3;2;
52;Am Jungbornpark;4;9;18;4;9;
53;Am Klömpkenshof;6;2;1;6;2;
54;Am Kolk;4;9;18;4;9;
55;Am Krähenacker;5;7;12;5;7;
56;Am Meerholz;4;9;18;4;9;
57;Am Meetschenhof;8;10;19;5;10;
58;Am Moersbach;4;9;18;4;9;
59;Am Mönk;4;9;18;3;9;
60;Am Mühlenteich;10;9;11;4;9;
61;Am Neukirchener Kanal;3;1;14;6;1;
62;Am Pandyck;7;5;13;2;5;
63;Am Pannenhof;7;5;13;2;5;
64;Am Pattberg;10;10;20;4;10;
65;Am Peschkenhof;3;1;14;6;1;
66;Am Peterhof;6;2;1;6;2;
67;Am Schrapershof;1;4;6;2;4;
68;Am Schürmannshütt;3;2;14;3;2;
69;Am Sportpark;7;3;4;2;3;
70;Am Sportzentrum;10;9;11;4;9;
71;Am Steinbrink;1;4;6;2;4;
72;Am Utforter Graben;8;10;19;5;10;
73;Am Viegenhof;10;9;11;4;9;
74;Am Vinnbusch;1;4;6;2;4;
75;Am Vutzhof;8;10;19;5;10;
76;Am Weidenbruch;6;1;3;6;1;
77;Am Wiesengrund;6;1;3;6;1;
78;Am Wolfsberg;9;7;7;1;7;
79;Amalienstraße;6;1;3;6;1;
80;Amselstraße;4;9;18;4;9;
81;An den Eichen;8;10;19;5;10;
82;An den Hornbuchen;4;9;18;4;9;
83;An der Beeke;5;7;12;5;7;
84;An der Berufsschule;2;3;17;3;3;
85;An der Halde;9;8;9;1;8;
86;An der Hees;10;9;11;4;9;
87;An der Linde;4;9;18;4;9;
88;An der neuen Mühle;6;1;14;6;1;
89;An der Sandkull;4;9;20;4;9;
90;An der Schneckull;4;9;11;4;9;
91;An Hoffmanns Büschken;3;2;14;3;2;
92;Andreasstraße;1;4;4;2;4;
93;Anemonenweg;6;1;3;6;1;
94;Anglerstraße;4;9;18;4;9;
95;Annabergstraße;9;8;9;1;8;
96;Annastraße;2;3;4;2;3;
97;Anrathsmünde;10;10;20;4;10;
98;Antoniastraße;2;3;4;2;3;
99;Antoniusstraße;7;5;4;2;5;
100;Arminiusstraße;7;5;4;2;5;
101;Arnikaweg;8;10;19;5;10;
102;Arnulfstraße;3;2;8;3;2;
103;Asberger Straße;0;0;0;0;0;1
104;Asdonkshofstraße;10;10;20;4;10;
105;Asterlager Straße;1;5;4;2;5;
106;Asternstraße;6;1;3;6;1;
107;Aubruchsweg;6;2;1;6;2;
108;Auf dem Berg;7;5;7;2;5;
