Straße;Restabfall;Biotonne;Papiertonne;Gelber Sack;Grünschnitt;Kehrtag
Abteistraße;2;3;8;2;3;
Achterrathsheideweg;6;1;3;5;1;
Ackerstraße;1;4;6;3;4;Do
Adam-Riese-Straße;2;3;4;2;3;
Adlerstraße;3;2;8;3;2;Fr
Adolf-Krummacher-Straße;3;3;17;2;3;
Agnesstraße;6;1;3;5;1;
Ahornstraße;6;2;1;5;2;
Akazienstraße;6;2;1;5;2;
Albert-Altwicker-Straße;8;10;19;6;10;
Albert-Schweitzer-Straße;6;1;3;5;1;
Albertstraße;6;1;3;5;1;
Alexander-Bell-Straße;4;10;14;3;10;Do
Alexander-Fleming-Weg;6;1;3;5;1;
Alexanderstraße;7;5;13;2;5;
Alex-Nöthen-Weg;9;6;7;1;6;
Alfredstraße;7;5;7;2;5;
Allmendestraße;4;9;20;6;9;Fr
Alsenstraße;9;8;9;1;8;Mo
Altdorferstraße;1;4;2;3;4;
Altenbruchstraße;1;4;6;3;4;
Alt-Hasselt-Straße;9;8;9;1;8;Mo
Altmarkt (*3);3;3;8;3;3;S1
Am Abelshof;4;9;18;3;9;
Am Achterrathshof;6;1;3;5;1;
Am Agnetenhof;10;2;1;5;2;
Am Anger;8;10;15;4;10;Do
Am Bahndamm;7;6;7;2;6;
Am Bendmannsfeld;6;1;3;5;1;Di
Am Boschhof;8;10;19;6;10;
Am Brink;10;2;3;5;2;
Am Burgfeld;1;4;4;2;4;Mo
Am Domacker;1;4;2;3;4;Do
Am Dorsterhof;10;1;14;5;1;
Am Eulendyck;6;1;3;5;1;
Am Feldrain;10;9;11;6;9;
Am Fonderschen;3;2;14;3;2;Fr
Am Förtgesgraben;10;2;1;5;2;
Am Frankenfeld;8;10;11;6;10;
Am Fünderich;3;10;16;3;10;
Am Geldermannshof;7;5;7;2;5;Di
Am Gerdtbach;5;7;12;4;7;
Am Hasloth;10;9;11;6;9;
Am Heckmannshof;10;2;14;3;2;
Am Heiligen Berg;1;4;2;3;4;Do
Am Holderstrauch;10;2;1;5;2;
Am Holtmannshof;6;2;1;5;2;
Am Hühnerort;7;5;4;2;5;
Am Hülsdonker Busch;10;2;14;3;2;
Am Impler Berg;10;10;20;6;10;
Am Jostenhof;4;2;14;3;2;Fr
Am Jungbornpark;4;9;18;6;9;Fr
Am Klömpkenshof;6;2;1;5;2;
Am Kolk;4;9;18;6;9;
Am Krähenacker;5;7;12;4;7;
Am Meerholz;4;9;18;6;9;Fr
Am Meetschenhof;8;10;19;6;10;
Am Moersbach;4;9;18;6;9;
Am Mönk;4;9;18;3;9;Fr
Am Mühlenteich;10;9;11;6;9;
Am Neukirchener Kanal;10;1;14;5;1;
Am Pandyck;7;5;13;2;5;
Am Pannenhof;7;5;13;2;5;
Am Pattberg;10;10;20;6;10;Fr
Am Peschkenhof;10;1;14;5;1;
Am Peterhof;6;2;1;5;2;
Am Schrapershof;1;4;6;3;4;
Am Schürmannshütt;4;2;14;3;2;Fr
Am Sportpark;7;3;4;2;3;
Am Sportzentrum;10;9;11;6;9;Fr
Am Steinbrink;1;4;6;3;4;
Am Utforter Graben (*1);8;10;19;6;10;Do
Am Viegenhof;10;9;11;6;9;
Am Vinnbusch;1;4;6;3;4;
Am Vutzhof;8;10;19;6;10;
Am Weidenbruch;6;1;3;5;1;
Am Wiesengrund;6;1;3;5;1;
Am Wolfsberg;9;7;7;1;7;Mo
Amalienstraße;6;1;3;5;1;Di
Amselstraße;4;9;18;6;9;
An den Eichen;8;10;19;6;10;
An den Hornbuchen;4;9;18;6;9;Fr
An der Beeke;5;7;12;4;7;
An der Berufsschule;2;3;17;2;3;Mi
An der Cölve;1;4;6;3;4;
An der Halde;9;8;9;1;8;Mo
An der Hees;10;9;11;6;9;
An der Linde;4;9;18;6;9;Fr
An der neuen Mühle;10;1;14;5;1;
An der Sandkull;4;9;20;6;9;Fr
An der Schneckull;10;9;11;6;9;
An Hoffmanns Büschken;10;2;14;3;2;
Andreasstraße;1;5;4;2;5;
Anemonenweg;6;1;3;5;1;
Anglerstraße;4;9;18;6;9;Fr
Annabergstraße;9;8;9;1;8;Mo
Annastraße;2;3;4;2;3;Di
Anrathsmünde;10;10;20;6;10;Fr
Antoniastraße;7;3;4;2;3;
Antoniusstraße;7;5;4;2;5;
Arminiusstraße;7;5;4;2;5;Mo
Arnikaweg;8;10;19;6;10;
Arnulfstraße;3;2;8;3;2;Fr
Asberger Straße;7;3;4;2;3;Mo
Asdonkshofstraße;10;10;20;6;10;
Asterlager Straße;1;5;4;2;5;
Asternstraße;6;1;3;5;1;Di
Aubruchsweg;6;2;1;5;2;
Auf dem Berg;7;5;7;2;5;
Auf dem Hügel;9;7;7;1;7;Mo
Auf der Düne;1;4;2;3;4;Di
Auf der Wehm;6;1;3;5;1;Di
Augustastraße;3;3;17;3;3;Mi
August-Macke-Straße;6;1;3;5;1;
Averdunkshof;2;3;5;2;3;
Azaleenweg;4;9;20;6;9;
Baerler Straße;3;10;16;1;10;Mo
Baggerstraße;5;10;15;6;10;
Bahnenstraße;5;7;12;4;7;
Bahnhofstraße (*1);6;1;3;5;1;Di
Bankstraße;3;3;16;3;3;Di
Barbarastraße;9;8;9;1;8;Mo
