_id,datum,restabfall,biotonne,papiertonne,gelber_sack,gruenschnitt,schadstoff
1,02.01.2019,2,7,7,2,,0
2,03.01.2019,3,8,8,,,0
3,04.01.2019,4,9,9,3,,0
4,05.01.2019,5,10,10,,,1
5,06.01.2019,,,,,,0
6,07.01.2019,6,1,11,"4,6",1,0
7,08.01.2019,7,2,12,,2,0
8,09.01.2019,8,3,13,,3,0
9,10.01.2019,9,4,14,,4,0
10,11.01.2019,10,5,15,5,5,0
11,12.01.2019,,,,,,0
12,13.01.2019,,,,,,0
13,14.01.2019,1,6,16,1,6,0
14,15.01.2019,2,7,17,2,7,0
15,16.01.2019,3,8,18,,8,0
16,17.01.2019,4,9,19,3,9,0
17,18.01.2019,5,10,20,,10,0
18,19.01.2019,,,,,,0
19,20.01.2019,,,,,,0
20,21.01.2019,6,1,1,"4,6",,0
21,22.01.2019,7,2,2,,,0
22,23.01.2019,8,3,3,,,0
23,24.01.2019,9,4,4,,,0
24,25.01.2019,10,5,5,5,,0
25,26.01.2019,,,,,,0
26,27.01.2019,,,,,,0
27,28.01.2019,1,6,6,1,,0
28,29.01.2019,2,7,7,2,,0
29,30.01.2019,3,8,8,,,0
30,31.01.2019,4,9,9,3,,0
31,01.02.2019,5,10,10,,,0
32,02.02.2019,,,,,,1
33,03.02.2019,,,,,,0
34,04.02.2019,6,1,11,"4,6",,0
35,05.02.2019,7,2,12,,,0
36,06.02.2019,8,3,13,,,0
37,07.02.2019,9,4,14,,,4
38,08.02.2019,10,5,15,5,,0
39,09.02.2019,,,,,,1
40,10.02.2019,,,,,,0
41,11.02.2019,1,6,16,1,,0
42,12.02.2019,2,7,17,2,,0
43,13.02.2019,3,8,18,,,0
44,14.02.2019,4,9,19,3,,3
45,15.02.2019,5,10,20,,,0
46,16.02.2019,,,,,,0
47,17.02.2019,,,,,,0
48,18.02.2019,6,1,1,"4,6",,0
49,19.02.2019,7,2,2,,,0
50,20.02.2019,8,3,3,,,0
51,21.02.2019,9,4,4,,,5
52,22.02.2019,10,5,5,5,,0
53,23.02.2019,,,,,,0
54,24.02.2019,,,,,,0
55,25.02.2019,1,6,6,1,,0
56,26.02.2019,2,7,7,2,,0
57,27.02.2019,3,8,8,,,0
58,28.02.2019,4,9,9,3,,2
59,2019-00-00,,,,,,0
60,01.03.2019,5,10,10,,,0
61,02.03.2019,,,,,,1
62,03.03.2019,,,,,,0
63,04.03.2019,6,1,,,,0
64,05.03.2019,7,2,11,"4,6",,0
65,06.03.2019,8,3,12,,,0
66,07.03.2019,9,4,13,,,0
67,08.03.2019,10,5,14,,,0
68,09.03.2019,,,15,5,,0
69,10.03.2019,,,,,,0
70,11.03.2019,1,6,16,1,,0
71,12.03.2019,2,7,17,2,,0
72,13.03.2019,3,8,18,,,0
73,14.03.2019,4,9,19,3,,0
74,15.03.2019,5,10,20,,,0
75,16.03.2019,,,,,,0
76,17.03.2019,,,,,,0
77,18.03.2019,6,1,1,"4,6",,0
78,19.03.2019,7,2,2,,,0
79,20.03.2019,8,3,3,,,0
80,21.03.2019,9,4,4,,,0
81,22.03.2019,10,5,5,5,,0
82,23.03.2019,,,,,,0
83,24.03.2019,,,,,,0
84,25.03.2019,1,6,6,1,,0
85,26.03.2019,2,7,7,2,,0
86,27.03.2019,3,8,8,,,0
87,28.03.2019,4,9,9,3,,0
88,29.03.2019,5,10,10,,,0
89,30.03.2019,,,,,,0
90,31.03.2019,,,,,,0
91,01.04.2019,6,1,11,"4,6",1,0
92,02.04.2019,7,2,12,,2,0
93,03.04.2019,8,3,13,,3,0
94,04.04.2019,9,4,14,,4,0
95,05.04.2019,10,5,15,5,5,0
96,06.04.2019,,,,, ,1
97,07.04.2019,,,,, ,0
98,08.04.2019,1,6,16,1,6,0
99,09.04.2019,2,7,17,2,7,0
100,10.04.2019,3,8,18,,8,0
101,11.04.2019,4,9,19,3,9,0
102,12.04.2019,5,10,20,,10,0
103,13.04.2019,6,1,1,"4,6", ,0
104,14.04.2019,,,,, ,0
105,15.04.2019,7,2,2,,,0
106,16.04.2019,8,3,3,,,0
107,17.04.2019,9,4,4,,,0
108,18.04.2019,10,5,5,5,,0
109,19.04.2019,,,,,,0
110,20.04.2019,,,,,,0
111,21.04.2019,,,,,,0
112,22.04.2019,,,,,,0
113,23.04.2019,1,6,6,1,,0
114,24.04.2019,2,7,7,2,,0
115,25.04.2019,3,8,8,,,0
116,26.04.2019,4,9,9,3,,0
117,27.04.2019,5,10,10,,,0
118,28.04.2019,,,,,,0
119,29.04.2019,6,1,11,"4,6",,0
120,30.04.2019,7,2,12,,,0
121,01.05.2019,,,,,,0
122,02.05.2019,8,3,13,,,4
123,03.05.2019,9,4,14,,,0
124,04.05.2019,10,5,15,5,,1
125,05.05.2019,,,,,,0
126,06.05.2019,1,6,16,1,,0
127,07.05.2019,2,7,17,2,,0
128,08.05.2019,3,8,18,,,0
129,09.05.2019,4,9,19,3,,3
130,10.05.2019,5,10,20,,,0
131,11.05.2019,,,,,,0
132,12.05.2019,,,,,,0
133,13.05.2019,6,1,1,"4,6",,0
134,14.05.2019,7,2,2,,,0
135,15.05.2019,8,3,3,,,0
136,16.05.2019,9,4,4,,,5
137,17.05.2019,10,5,5,5,,0
138,18.05.2019,,,,,,0
139,19.05.2019,,,,,,0
140,20.05.2019,1,6,6,1,,0
141,21.05.2019,2,7,7,2,,0
142,22.05.2019,3,8,8,,,0
143,23.05.2019,4,9,9,3,,2
144,24.05.2019,5,10,10,,,0
145,25.05.2019,,,,,,0
146,26.05.2019,,,,,,0
147,27.05.2019,6,1,11,"4,6",,0
148,28.05.2019,7,2,12, ,,0
149,29.05.2019,8,3,13,,,0
150,30.05.2019,,,,,,0
151,31.05.2019,9,4,14,,,0
152,01.06.2019,10,5,15,5,,1
153,02.06.2019,,,,,,0
154,03.06.2019,1,6,16,1,,0
155,04.06.2019,2,7,17,2,,0
156,05.06.2019,3,8,18,,,0
157,06.06.2019,4,9,19,3,,0
158,07.06.2019,5,10,20,,,0
159,08.06.2019,,,,,,0
160,09.06.2019,,,,,,0
161,10.06.2019,,,,,,0
162,11.06.2019,6,1,1,"4,6",,0
163,12.06.2019,7,2,2,,,0
164,13.06.2019,8,3,3,,,0
165,14.06.2019,9,4,4,,,0
166,15.06.2019,10,5,5,5,,0
167,16.06.2019,,,,,,0
168,17.06.2019,1,6,6,1,,0
169,18.06.2019,2,7,7,2,,0
170,19.06.2019,3,8,8,,,0
171,20.06.2019,,,,,,0
172,21.06.2019,4,9,9,3,,0
173,22.06.2019,5,10,10,,,0
174,23.06.2019,,,,,,0
175,24.06.2019,6,1,11,"4,6",,0
176,25.06.2019,7,2,12,,,0
177,26.06.2019,8,3,13,,,0
178,27.06.2019,9,4,14,,,0
179,28.06.2019,10,5,15,5,,0
180,29.06.2019,,,,,,0
181,30.06.2019,,,,,,0
182,01.07.2019,1,6,16,1,,0
183,02.07.2019,2,7,17,2,,0
184,03.07.2019,3,8,18,,,0
185,04.07.2019,4,9,19,3,,0
186,05.07.2019,5,10,20,,,0
187,06.07.2019,,,,,,1
188,07.07.2019,,,,,,0
189,08.07.2019,6,1,1,"4,6",,0
190,09.07.2019,7,2,2,,,0
191,10.07.2019,8,3,3,,,0
192,11.07.2019,9,4,4,,,0
193,12.07.2019,10,5,5,5,,0
194,13.07.2019,,,,,,0
195,14.07.2019,,,,,,0
196,15.07.2019,1,6,6,1,,0
197,16.07.2019,2,7,7,2,,0
198,17.07.2019,3,8,8,,,0
199,18.07.2019,4,9,9,3,,0
200,19.07.2019,5,10,10,,,0
201,20.07.2019,,,,,,0
202,21.07.2019,,,,,,0
203,22.07.2019,6,1,11,"4,6",,0
204,23.07.2019,7,2,12, ,,0
205,24.07.2019,8,3,13,,,0
206,25.07.2019,9,4,14,,,0
207,26.07.2019,10,5,15,5,,0
208,27.07.2019,,,,,,0
209,28.07.2019,,,,,,0
210,29.07.2019,1,6,16,1,,0
211,30.07.2019,2,7,17,2,,0
212,31.07.2019,3,8,18,,,0
213,01.08.2019,4,9,19,3,,0
214,02.08.2019,5,10,20,,,0
215,03.08.2019,,,,,,1
216,04.08.2019,,,,,,0
217,05.08.2019,6,1,1,"4,6",,0
218,06.08.2019,7,2,2,,,0
219,07.08.2019,8,3,3,,,0
220,08.08.2019,9,4,4,,,4
221,09.08.2019,10,5,5,5,,0
222,10.08.2019,,,,,,0
223,11.08.2019,,,,,,0
224,12.08.2019,1,6,6,1,,0
225,13.08.2019,2,7,7,2,,0
226,14.08.2019,3,8,8,,,0
227,15.08.2019,4,9,9,3,,3
228,16.08.2019,5,10,10,,,0
229,17.08.2019,,,,,,0
230,18.08.2019,,,,,,0
231,19.08.2019,6,1,11,"4,6",,0
232,20.08.2019,7,2,12,,,0
233,21.08.2019,8,3,13,,,0
234,22.08.2019,9,4,14,,,5
235,23.08.2019,10,5,15,5,,0
236,24.08.2019,,,,,,0
237,25.08.2019,,,,,,0
238,26.08.2019,1,6,16,1,,0
239,27.08.2019,2,7,17,2,,0
240,28.08.2019,3,8,18,,,0
241,29.08.2019,4,9,19,3,,2
242,30.08.2019,5,10,20,,,0
243,31.08.2019,,,,,,0
244,01.09.2019,,,,,,0
245,02.09.2019,6,1,1,"4,6",,0
246,03.09.2019,7,2,2,,,0
247,04.09.2019,8,3,3,,,0
248,05.09.2019,9,4,4,,,0
249,06.09.2019,10,5,5,5,,0
250,07.09.2019,,,,,,1
251,08.09.2019,,,,,,0
252,09.09.2019,1,6,6,1,,0
253,10.09.2019,2,7,7,2,,0
254,11.09.2019,3,8,8,,,0
255,12.09.2019,4,9,9,3,,0
256,13.09.2019,5,10,10,,,0
257,14.09.2019,,,,,,0
258,15.09.2019,,,,,,0
259,16.09.2019,6,1,11,"4,6",,0
260,17.09.2019,7,2,12,,,0
261,18.09.2019,8,3,13,,,0
262,19.09.2019,9,4,14,,,0
263,20.09.2019,10,5,15,5,,0
264,21.09.2019,,,,,,0
265,22.09.2019,,,,,,0
266,23.09.2019,1,6,16,1,,0
267,24.09.2019,2,7,17,2,,0
268,25.09.2019,3,8,18,,,0
269,26.09.2019,4,9,19,3,,0
270,27.09.2019,5,10,20,,,0
271,28.09.2019,,,,,,0
272,29.09.2019,,,,,,0
273,30.09.2019,6,1,1,"4,6",,0
274,01.10.2019,7,2,2,,,0
275,02.10.2019,8,3,3,,,0
276,03.10.2019,,,,,,0
277,04.10.2019,9,4,4,,,0
278,05.10.2019,10,5,5,5,,1
279,06.10.2019,,,,,,0
280,07.10.2019,1,6,6,1,,0
281,08.10.2019,2,7,7,2,,0
282,09.10.2019,3,8,8,,,0
283,10.10.2019,4,9,9,3,,0
284,11.10.2019,5,10,10,,,0
285,12.10.2019,,,,,,0
286,13.10.2019,,,,,,0
287,14.10.2019,6,1,11,"4,6",,0
288,15.10.2019,7,2,12,,,0
289,16.10.2019,8,3,13,,,0
290,17.10.2019,9,4,14,,,0
291,18.10.2019,10,5,15,5,,0
292,19.10.2019,,,,,,0
293,20.10.2019,,,,,,0
294,21.10.2019,1,6,16,1,,0
295,22.10.2019,2,7,17,2,,0
296,23.10.2019,3,8,18,,,0
297,24.10.2019,4,9,19,3,,0
298,25.10.2019,5,10,20,,,0
299,26.10.2019,,,,,,0
300,27.10.2019,,,,,,0
301,28.10.2019,6,1,1,"4,6",,0
302,29.10.2019,7,2,2,,,0
303,30.10.2019,8,3,3,,,0
304,31.10.2019,9,4,4,,,4
305,01.11.2019,,,,,,0
306,02.11.2019,10,5,5,5,,1
307,03.11.2019,,,,,,0
308,04.11.2019,1,6,6,1,,0
309,05.11.2019,2,7,7,2,,0
310,06.11.2019,3,8,8,,,0
311,07.11.2019,4,9,9,3,,3
312,08.11.2019,5,10,10,,,0
313,09.11.2019,,,,,,0
314,10.11.2019,,,,,,0
315,11.11.2019,6,1,11,"4,6",1,0
316,12.11.2019,7,2,12,,2,0
317,13.11.2019,8,3,13,,3,0
318,14.11.2019,9,4,14,,4,5
319,15.11.2019,10,5,15,5,5,0
320,16.11.2019,,,,, ,0
321,17.11.2019,,,,, ,0
322,18.11.2019,1,6,16,1,6,0
323,19.11.2019,2,7,17,2,7,0
324,20.11.2019,3,8,18,,8,0
325,21.11.2019,4,9,19,3,9,0
326,22.11.2019,5,10,20,,10,0
327,23.11.2019,,,,, ,0
328,24.11.2019,,,,, ,0
329,25.11.2019,6,1,1,"4,6", ,0
330,26.11.2019,7,2,2,,,0
331,27.11.2019,8,3,3,,,0
332,28.11.2019,9,4,4,,,2
333,29.11.2019,10,5,5,5,,0
334,30.11.2019,,,,,,0
335,01.12.2019,,,,,,0
336,02.12.2019,1,6,6,1,,0
337,03.12.2019,2,7,7,2,,0
338,04.12.2019,3,8,8,,,0
339,05.12.2019,4,9,9,3,,0
340,06.12.2019,5,10,10,,,0
341,07.12.2019,,,,,,1
342,08.12.2019,,,,,,0
343,09.12.2019,6,1,11,"4,6",,0
344,10.12.2019,7,2,12,,,0
345,11.12.2019,8,3,13,,,0
346,12.12.2019,9,4,14,,,0
347,13.12.2019,10,5,15,5,,0
348,14.12.2019,,,,,,0
349,15.12.2019,,,,,,0
350,16.12.2019,1,6,16,1,,0
351,17.12.2019,2,7,17,2,,0
352,18.12.2019,3,8,18,,,0
353,19.12.2019,4,9,19,3,,0
354,20.12.2019,5,10,20,,,0
355,21.12.2019,6,1,1,"4,6",,0
356,22.12.2019,,,,,,0
357,23.12.2019,7,2,2,,,0
358,24.12.2019,8,3,3,,,0
359,25.12.2019,,,,,,0
360,26.12.2019,,,,,,0
361,27.12.2019,9,4,4,,,0
362,28.12.2019,10,5,5,5,,0
363,29.12.2019,,,,,,0
364,30.12.2019,1,6,6,1,,0
365,31.12.2019,2,7,7,2,,0
