Firma,Quartier,StraÃŸe,HausNr,PLZ,Ort,URL,Fon,Montag_von,Montag_bis,Montag_Pause,Dienstag_von,Dienstag_bis,Dienstag_Pause,Mittwoch_von,Mittwoch_bis,Mittwoch_Pause,Donnerstag_von,Donnerstag_bis,Donnerstag_Pause,Freitag_von,Freitag_bis,Freitag_Pause,Samstag_von,Samstag_bis,Samstag_Pause,sonstiges,Branche,lng,lat,opening_hours
Spiel & Hobby Becker,Altstadt,Friedrichstr. ,65,47441,Moers,www.becker-spielwaren.de,2 26 17,10.00,18.30,13.00 - 14.30,10.00,18.30,13.00 - 14.30,10.00,13.00,,10.00,18.30,13.00 - 14.30,10.00,18.30,13.00 - 14.30,10.00,16.00,,,Spiel & Hobby,662.669,5.145.259,"Mo-Fr 10:00-13:00,14:30-18:30, Sa 10:00-16:00, PH off"
Barbara Buchhandlung,Burg,Burgstr.,3,47441,Moers,www.barbara-buch.de,9 99 27 99,Sep 30,18.30,,Sep 30,18.30,,Sep 30,18.30,,Sep 30,18.30,,Sep 30,18.30,,Sep 30,16.00,,,Buchhandlung,662.705,5.145.076,"Mo-Fr 09:30-18:30, Sa 09:30-16:00, PH off"
BurgschlÃ¶sschen,Burg,Burgstr.,1f,47441,Moers,,,10.00,18.30,,10.00,18.30,,10.00,18.30,,10.00,18.30,,10.00,18.30,,10.00,16.00,,Juni - August Montags geschlossen,Schmuck,662.713,5.145.081,"Mo-Fr 10:00-18:30, Sa 10:00-16:00, PH off"
Cindy`s Hair Design Kosmetik,Burg,Burgstr.,18,47441,Moers,,2 41 16,09.00,18.30,,09.00,18.30,,09.00,18.30,,09.00,18.30,,09.00,18.30,,Aug 30,16.00,,,Friseur,662.711,5.145.058,"Mo-Fr 09:00-18:30, Sa 08:30-16:00, PH off"
Heimelie,Burg,Burgstr.,5,47441,Moers,www.heimelie.de,9 16 31 71,09.00,18.00,,09.00,18.00,,09.00,18.00,,09.00,18.00,,09.00,18.00,,10.00,18.00,,,Gastronomie,662.724,5.145.079,"Mo-Fr 09:00-18:00, Sa 10:00-18:00, PH off"
Kurlbaum Restaurant,Burg,Burgstr.,7,47441,Moers,,2 72 00,12.00,24.00,14.00 - 18.00,Ruhetag,Ruhetag,Ruhetag,12.00,24.00,14.00 - 18.00,12.00,24.00,14.00 - 18.00,12.00,24.00,14.00 - 18.00,18.00,24.00,,Sonntags von 18.00 - 24.00 Uhr,Gastronomie,662.696,5.145.070,"Mo-Fr 12:00-14:00,18:00-00:00, Tu off, Sa 18:00-00:00, PH off"
Moda Veltini,Burg,Burgstr.,6,47441,Moers,,17 87 32,10.00,19.00,,10.00,19.00,,10.00,19.00,,10.00,19.00,,10.00,19.00,,10.00,18.00,,,Bekleidung,662.736,5.145.085,"Mo-Fr 10:00-19:00, Sa 10:00-18:00, PH off"
Alltours ReiseCenter,KÃ¶-Viertel,Homberger Str.,25,47441,Moers,www.alltoursreisecenter.de,9 00 60,Sep 30,18.30,,Sep 30,18.30,,Sep 30,18.30,,Sep 30,18.30,,Sep 30,18.30,,10.00,14.00,,,ReisebÃ¼ro,663.177,5.145.083,"Mo-Fr 09:30-18:30, Sa 10:00-14:00, PH off"
Backwerk,KÃ¶-Viertel,Homberger Str.,10,47441,Moers,www.backwerk.de,,Jun 30,19.00,,Jun 30,19.00,,Jun 30,19.00,,Jun 30,19.00,,Jun 30,19.00,,07.00,19.00,,,Backwaren,663.020,5.145.079,"Mo-Fr 06:30-19:00, Sa 07:00-19:00, PH off"
Best Coins Investment,KÃ¶-Viertel,Homberger Str.,11,47441,Moers,www.best-coins.com,92 96 97,10.00,18.00,13.30 - 15.30,10.00,18.00,13.30 - 15.30,10.00,13.30,,10.00,18.00,13.30 - 15.30,10.00,18.00,13.30 - 15.30,10.00,13.30,,und nach Vereinbarung,MÃ¼nzen,663.093,5.145.096,"Mo-Fr 10:00-13:30,15:30-18:00, We,Sa 10:00-13:30, PH off"
Blumen Spangenberg,KÃ¶-Viertel,Homberger Str.,23,47441,Moers,www.facebook.de/Blumenspangenberg,81 11 080,10.00,18.30,,10.00,18.30,,10.00,18.30,,10.00,18.30,,10.00,18.30,,10.00,16.00,,,Blumen,663.165,5.145.085,"Mo-Fr 10:00-18:30, Sa 10:00-16:00, PH off"
Currybar GmbH,KÃ¶-Viertel,Homberger Str.,20-22,47441,Moers,,888 93 75,11.00,19.00,,11.00,19.00,,11.00,19.00,,11.00,19.00,,11.00,19.00,,11.00,18.00,,,Gastronomie,663.128,5.145.064,"Mo-Fr 11:00-19:00, Sa 11:00-18:00, PH off"
DerPart ReisebÃ¼ro,KÃ¶-Viertel,Homberger Str.,2,47441,Moers,www.kioswest24.de,91 88 0,09.00,18.00,,09.00,18.00,,09.00,18.00,,09.00,18.00,,09.00,18.00,,10.00,14.00,,,ReisebÃ¼ro,662.947,5.145.041,"Mo-Fr 09:00-18:00, Sa 10:00-14:00, PH off"
Ernsting's Family,KÃ¶-Viertel,Homberger Str.,15,47441,Moers,www.enrstings-family.com,,09.00,19.00,,09.00,19.00,,09.00,19.00,,09.00,19.00,,09.00,19.00,,09.00,18.00,,,Bekleidung,663.117,5.145.095,"Mo-Fr 09:00-19:00, Sa 09:00-18:00, PH off"
Fielmann,KÃ¶-Viertel,Homberger Str.,27,47441,Moers,,2 35 84,09.00,19.00,,09.00,19.00,,09.00,19.00,,09.00,19.00,,09.00,19.00,,10.00,16.00,,,Optiker,663.187,5.145.079,"Mo-Fr 09:00-19:00, Sa 10:00-16:00, PH off"
Fotobrell,KÃ¶-Viertel,Homberger Str.,10,47441,Moers,www.fotobrell.com,23 0 49,Sep 30,19.00,,Sep 30,19.00,,Sep 30,19.00,,Sep 30,19.00,,Sep 30,19.00,,10.00,16.00,,Advent-Samstage 10.00 - 18.00,Foto,663.020,5.145.079,"Mo-Fr 09:30-19:00, Sa 10:00-16:00, PH off"
Gardinen Haase,KÃ¶-Viertel,Homberger Str.,41,47441,Moers,,1 84 87,10.00,18.00,,10.00,18.00,,10.00,18.00,,10.00,18.00,,10.00,18.00,,10.00,13.00,,,Gardinen,663.359,5.145.052,"Mo-Fr 10:00-18:00, Sa 10:00-13:00, PH off"
