"id";"name";"zusatz";"restabfall";"biotonne";"papiertonne";"gelber_sack";"gruenschnitt";"del";"plz"
"2";"Abteistraße";"";"5";"6";"5";"8";"6";"";"47441"
"3";"Achterathsheideweg";"";"6";"1";"3";"9";"1";"";"47447"
"4";"Ackerstraße";"";"1";"3";"6";"4";"3";"";"47447"
"6";"Adam-Riese-Straße";"";"5";"6";"4";"5";"6";"";"47441"
"7";"Adlerstraße";"";"3";"2";"8";"9";"2";"";"47441"
"8";"Adolf-Krummacher-Straße";"";"5";"6";"2";"5";"6";"";"47441"
"9";"Agnesstraße";"";"6";"1";"3";"9";"1";"";"47447"
"10";"Ahornstraße";"";"1";"2";"1";"4";"2";"";"47447"
"11";"Akazienstraße";"";"1";"2";"1";"4";"2";"";"47506,47447"
"12";"Albert-Altwicker-Straße";"";"8";"4";"10";"6";"4";"";"47445"
"13";"Albert-Schweitzer-Straße";"";"6";"1";"3";"9";"1";"";"47447"
"14";"Albertstraße";"";"6";"1";"3";"9";"1";"";"47447"
"15";"Alexander-Bell-Straße";"";"3";"9";"14";"6";"9";"";"47445"
"16";"Alexander-Fleming-Weg";"";"6";"1";"3";"9";"1";"";"47447"
"17";"Alexanderstraße";"";"10";"5";"7";"2";"5";"";"47443"
"18";"Alex-Nöthen-Weg";"";"2";"10";"5";"7";"10";"";"47443"
"19";"Alfredstraße";"";"10";"5";"7";"5";"5";"";"47441"
"20";"Allmendestraße";"";"4";"9";"20";"10";"9";"";"47445"
"21";"Alsenstraße";"";"9";"7";"9";"7";"7";"";"47443"
"22";"Altdorferstraße";"";"1";"3";"2";"3";"3";"";"47447"
"23";"Altenbruchstraße";"";"1";"3";"6";"4";"3";"";"47447"
"24";"Alt-Hasselt-Straße";"";"9";"7";"16";"7";"7";"";"47443"
"25";"Altmarkt";"";"3";"6";"8";"9";"6";"";"47441"
"26";"Am Abelshof";"";"4";"9";"20";"10";"9";"";"47445,47475"
"27";"Am Achterrathshof";"";"6";"1";"3";"9";"1";"";"47447"
"28";"Am Agnetenhof";"";"6";"2";"1";"4";"2";"";"47447"
"29";"Am Anger";"";"8";"7";"15";"1";"7";"";"47445"
"30";"Am Bahndamm";"";"10";"10";"7";"3";"10";"";"47443"
"31";"Am Bendmannsfeld";"";"6";"1";"3";"9";"1";"";"47447"
"32";"Am Boschhof";"";"8";"4";"11";"6";"4";"";"47445"
"33";"Am Brink";"";"6";"2";"1";"4";"2";"";"47447"
"34";"Am Burgfeld";"";"1";"3";"1";"3";"3";"";"47441"
"35";"Am Domacker";"";"1";"3";"2";"3";"3";"";"47447"
"36";"Am Dorsterhof";"";"6";"1";"12";"9";"1";"";"47447"
"37";"Am Eulendyck";"";"6";"1";"3";"9";"1";"";"47447"
"38";"Am Feldrain";"";"7";"9";"5";"6";"9";"";"47445"
"39";"Am Fonderschen";"";"3";"2";"12";"9";"2";"";"47441"
"40";"Am Förtgesgraben";"";"6";"2";"1";"4";"2";"";"47447"
"41";"Am Frankenfeld";"";"7";"4";"12";"6";"4";"";"47445"
"43";"Am Fünderich";"";"3";"4";"17";"8";"4";"";"47441"
"44";"Am Geldermannshof";"";"10";"5";"7";"5";"5";"";"47441,47443"
"45";"Am Gerdtbach";"";"2";"8";"11";"1";"8";"";"47443"
"46";"Am Hasloth";"";"7";"9";"5";"6";"9";"";"47445"
"47";"Am Heckmannshof";"";"3";"2";"12";"9";"2";"";"47441"
"48";"Am Heiligen Berg";"";"1";"3";"2";"3";"3";"";"47447"
"49";"Am Holderstrauch";"";"6";"2";"1";"4";"2";"";"47447"
"50";"Am Holtmannshof";"";"6";"2";"1";"4";"2";"";"47447"
"51";"Am Hühnerort";"";"1";"5";"1";"3";"5";"";"47441,47198"
"52";"Am Hülsdonker Busch";"";"3";"2";"12";"9";"2";"";"47441"
"53";"Am Impler Berg";"";"4";"4";"20";"10";"4";"";"47445"
"54";"Am Jostenhof";"";"3";"2";"14";"8";"2";"";"47441"
"55";"Am Jungbornpark";"";"4";"9";"20";"10";"9";"";"47445"
"56";"Am Klömpkenshof";"";"1";"2";"1";"4";"2";"";"47447"
"57";"Am Kolk";"";"4";"9";"20";"10";"9";"";"47445"
"58";"Am Krähenacker";"";"2";"8";"11";"1";"8";"";"47443"
"59";"Am Meerholz";"";"4";"9";"20";"10";"9";"";"47445"
"60";"Am Meetschenhof";"";"8";"4";"11";"6";"4";"";"47445"
"61";"Am Moersbach";"";"4";"9";"20";"10";"9";"";"47445"
"62";"Am Mönk";"";"4";"9";"18";"10";"9";"";"47445"
"63";"Am Mühlenteich";"";"7";"9";"5";"6";"9";"";"47445"
"64";"Am Neukirchener Kanal";"";"3";"1";"12";"9";"1";"";"47441"
"65";"Am Pandyck";"";"10";"5";"7";"2";"5";"";"47443"
"66";"Am Pannenhof";"";"10";"5";"13";"2";"5";"";"47441"
"67";"Am Pattberg";"";"4";"4";"20";"10";"4";"";"47445"
"68";"Am Peschkenhof";"";"3";"1";"12";"9";"1";"";"47441"
"69";"Am Peterhof";"";"6";"2";"1";"4";"2";"";"47447"
"70";"Am Schrapershof";"";"1";"3";"6";"4";"3";"";"47447"
"71";"Am Schürmannshütt";"";"3";"4";"14";"8";"4";"";"47441"
"72";"Am Sportpark";"";"1";"6";"4";"3";"6";"";"47441"
"73";"Am Sportzentrum";"";"7";"9";"10";"6";"9";"";"47445"
"74";"Am Steinbrink";"";"1";"3";"6";"4";"3";"";"47447"
"75";"Am Utforter Graben";"";"8";"4";"10";"6";"4";"";"47445"
"76";"Am Viegenhof";"";"7";"9";"5";"6";"9";"";"47445"
"77";"Am Vinnbusch";"";"1";"3";"6";"4";"3";"";"47447"
"78";"Am Vutzhof";"";"8";"4";"11";"6";"4";"";"47445"
"79";"Am Weidenbruch";"";"6";"1";"3";"9";"1";"";"47447"
"80";"Am Wiesengrund";"";"6";"1";"3";"9";"1";"";"47447"
"81";"Am Wolfsberg";"";"9";"8";"5";"7";"8";"";"47443"
"82";"Amalienstraße";"";"6";"1";"3";"9";"1";"";"47447"
"83";"Amselstraße";"";"4";"9";"18";"10";"9";"";"47445"
"84";"An den Eichen";"";"7";"4";"19";"6";"4";"";"47445"
"85";"An den Hornbuchen";"";"4";"9";"20";"10";"9";"";"47445"
"86";"An der Beeke";"";"2";"8";"11";"1";"8";"";"47443"
"87";"An der Berufsschule";"";"5";"6";"2";"5";"6";"";"47441"
"88";"An der Halde";"";"9";"7";"16";"7";"7";"";"47443"
"89";"An der Hees";"";"7";"9";"5";"6";"9";"";"47445"
"90";"An der Linde";"";"4";"9";"20";"10";"9";"";"47445"
"91";"An der neuen Mühle";"";"6";"1";"12";"9";"1";"";"47506,47447"
"92";"An der Sandkull";"";"4";"9";"20";"10";"9";"";"47445"
"93";"An der Schneckull";"";"4";"9";"5";"6";"9";"";"47445"
"94";"An Hoffmanns Büschken";"";"3";"2";"12";"9";"2";"";"47441"
"95";"Andreasstraße";"";"1";"3";"1";"3";"3";"";"47441"
"96";"Anemonenweg";"";"6";"1";"3";"9";"1";"";"47447"
"97";"Anglerstraße";"";"4";"9";"20";"10";"9";"";"47445"
"98";"Annabergstraße";"";"9";"7";"9";"7";"7";"";"47443"
"99";"Annastraße";"";"5";"6";"4";"5";"6";"";"47441"
"100";"Anrathsmünde";"";"4";"4";"20";"10";"4";"";"47445"
"101";"Antoniastraße";"";"5";"6";"4";"5";"6";"";"47441"
"102";"Antoniusstraße";"";"10";"5";"4";"3";"5";"";"47506,47441"
"103";"Arminiusstraße";"";"10";"5";"4";"3";"5";"";"47441"
"104";"Arnikaweg";"";"8";"4";"11";"6";"4";"";"47445"
"105";"Arnulfstraße";"";"3";"2";"8";"9";"2";"";"47441"
"108";"Asdonkshofstraße";"";"4";"4";"20";"10";"4";"";"47445"
"109";"Asterlager Straße";"";"1";"3";"1";"3";"3";"";"47441"
"110";"Asternstraße";"";"6";"1";"3";"9";"1";"";"47447"
"111";"Aubruchsweg";"";"1";"2";"1";"4";"2";"";"47447"
"112";"Auf dem Berg";"";"10";"5";"7";"3";"5";"";"47441"
"113";"Auf dem Hügel";"";"9";"8";"5";"7";"8";"";"47443"
"114";"Auf der Düne";"";"1";"3";"2";"3";"3";"";"47447"
"115";"Auf der Wehm";"";"6";"1";"3";"9";"1";"";"47447"
"116";"Augustastraße";"";"5";"6";"2";"8";"6";"";"47441"
"117";"August-Macke-Straße";"";"6";"1";"3";"9";"1";"";"47447"
"118";"Averdunkshof";"";"5";"6";"5";"8";"6";"";"47447"
"119";"Azaleenweg";"";"4";"9";"20";"10";"9";"";"47445"
"120";"Baerler Straße";"";"3";"6";"17";"8";"6";"";"47441"
"121";"Baggerstraße";"";"7";"5";"15";"1";"5";"";"47445"
"122";"Bahnenstraße";"";"2";"8";"10";"7";"8";"";"47443"
"123";"Bahnhofstraße";"";"6";"1";"3";"9";"1";"";"47506,47447"
"124";"Bankstraße";"";"3";"6";"17";"8";"6";"";"47441"
"126";"Barbarastraße";"";"9";"7";"16";"7";"7";"";"47443,47506"
"127";"Bataverstraße";"";"8";"4";"11";"6";"4";"";"47445"
"128";"Baudenstraße";"";"7";"4";"19";"6";"4";"";"47445"
"129";"Baumstraße";"";"7";"4";"19";"6";"4";"";"47445"
"130";"Baustraße";"";"3";"6";"17";"8";"6";"";"47441"
"131";"Beckerathsweg";"";"3";"9";"14";"10";"9";"";"47441"
"132";"Beckers Kull";"";"7";"9";"5";"6";"9";"";"47445"
"133";"Beethovenstraße";"";"6";"1";"3";"9";"1";"";"47506,47447"
"134";"Begonienstraße";"";"6";"1";"3";"9";"1";"";"47447"
"135";"Behringweg";"";"5";"6";"5";"5";"6";"";"47447"
"136";"Bendmannstraße";"";"6";"1";"3";"9";"1";"";"47447"
"137";"Bergahornstraße";"";"2";"10";"15";"2";"10";"";"47443"
"138";"Bergheideweg";"";"6";"2";"1";"4";"2";"";"47447"
"139";"Bergheimer Straße";"";"1";"3";"1";"3";"3";"";"47441"
"140";"Bergstraße";"";"10";"10";"7";"3";"10";"";"47443"
"142";"Bergwerkstraße";"";"8";"4";"19";"6";"4";"";"47445"
"143";"Bernhardstraße";"";"6";"1";"3";"9";"1";"";"47447"
"144";"Bernsbergerstraße";"";"7";"5";"15";"1";"5";"";"47445"
"145";"Bernsteinstraße";"";"7";"9";"10";"6";"9";"";"47445"
"146";"Bernsweg";"";"3";"9";"14";"6";"9";"";"47445"
"147";"Bertastraße";"";"3";"9";"14";"10";"9";"";"47445"
"148";"Bert-Brecht-Straße";"";"6";"1";"3";"9";"1";"";"47447"
"149";"Bethanienstraße";"";"3";"4";"17";"8";"4";"";"47441"
"150";"Bettenkamper Weg";"";"6";"1";"12";"9";"1";"";"47447"
"151";"Beuthener Straße";"";"9";"7";"9";"7";"7";"";"47443"
"152";"Billstraße";"";"8";"4";"20";"10";"4";"";"47445"
"153";"Birkenpaschhof";"";"3";"2";"12";"9";"2";"";"47441"
"154";"Birkenstraße";"";"1";"2";"1";"4";"2";"";"47506,47447"
"155";"Birnenstraße";"";"4";"9";"20";"10";"9";"";"47445"
"156";"Bismarckstraße";"";"9";"7";"16";"7";"7";"";"47443"
"158";"Blücherstraße";"";"9";"8";"11";"7";"8";"";"47443"
"160";"Blumenstraße";"";"5";"6";"5";"8";"6";"";"47506,47441"
"161";"Boberstraße";"";"7";"4";"19";"6";"4";"";"47445"
"162";"Böckstraße";"";"4";"9";"18";"10";"9";"";"47445"
"163";"Bogenstraße";"";"1";"6";"1";"5";"6";"";"47441"
"164";"Böllerschenweg";"";"3";"1";"12";"9";"1";"";"47441"
"165";"Boltenschütt";"";"5";"6";"5";"8";"6";"";"47447"
"166";"Bonifatiusstraße";"";"10";"5";"4";"3";"5";"";"47441"
"167";"Boschheideweg";"";"1";"2";"1";"4";"2";"";"47447"
"168";"Brahmsstraße";"";"6";"1";"3";"9";"1";"";"47447"
"169";"Breslauer Straße";"";"9";"8";"9";"7";"8";"";"47443,47506"
"170";"Breuelstraße";"";"8";"4";"20";"6";"4";"";"47445"
"171";"Brieger Straße";"";"2";"8";"10";"1";"8";"";"47443"
"172";"Brinkenhof";"";"4";"9";"20";"10";"9";"";"47445"
"173";"Bruchstraße";"";"6";"2";"1";"4";"2";"";"47506,47447"
