"id";"restabfall";"datum";"biotonne";"papiertonne";"gelber_sack";"gruenschnitt";"schadstoff";"del"
"1";"";"2025-01-01";"";"";"";"";"";""
"2";"8";"2025-01-02";"";"3";"1";"";"";""
"3";"9";"2025-01-03";"";"4,14";"2";"";"";""
"4";"10";"2025-01-04";"3";"5";"";"";"1";""
"5";"";"2025-01-05";"";"";"";"";"";""
"6";"1";"2025-01-06";"4";"6";"";"";"";""
"7";"2";"2025-01-07";"5";"7";"";"";"";""
"8";"3";"2025-01-08";"";"8";"3";"";"";""
"9";"4";"2025-01-09";"";"9";"4";"";"";""
"10";"5";"2025-01-10";"";"13";"5";"";"";""
"11";"";"2025-01-11";"";"";"";"";"";""
"12";"";"2025-01-12";"";"";"";"";"";""
"13";"6";"2025-01-13";"1";"10";"";"";"";""
"14";"7";"2025-01-14";"2";"11";"";"";"";""
"15";"8";"2025-01-15";"";"12,19";"1";"";"";""
"16";"9";"2025-01-16";"";"15";"2";"";"";""
"17";"10";"2025-01-17";"3";"20";"";"";"";""
"18";"";"2025-01-18";"";"";"";"";"";""
"19";"";"2025-01-19";"";"";"";"";"";""
"20";"1";"2025-01-20";"4";"";"";"";"";""
"21";"2";"2025-01-21";"5";"16";"";"";"";""
"22";"3";"2025-01-22";"";"17";"3";"";"";""
"23";"4";"2025-01-23";"";"18";"4";"";"";""
"24";"5";"2025-01-24";"";"";"5";"";"";""
"25";"";"2025-01-25";"";"";"";"";"";""
"26";"";"2025-01-26";"";"";"";"";"";""
"27";"6";"2025-01-27";"1";"1";"";"";"";""
"28";"7";"2025-01-28";"2";"2";"";"";"";""
"29";"8";"2025-01-29";"";"3";"1";"";"";""
"30";"9";"2025-01-30";"";"4,14";"2";"";"";""
"31";"10";"2025-01-31";"3";"5";"";"";"";""
"32";"";"2025-02-01";"";"";"";"";"1";""
"33";"";"2025-02-02";"";"";"";"";"";""
"34";"1";"2025-02-03";"4";"6";"";"";"";""
"35";"2";"2025-02-04";"5";"7";"";"";"";""
"36";"3";"2025-02-05";"";"8";"3";"";"";""
"37";"4";"2025-02-06";"";"9";"4";"";"2";""
"38";"5";"2025-02-07";"";"13";"5";"";"";""
"39";"";"2025-02-08";"";"";"";"";"";""
"40";"";"2025-02-09";"";"";"";"";"";""
"41";"6";"2025-02-10";"1";"10";"";"";"";""
"42";"7";"2025-02-11";"2";"11";"";"";"";""
"43";"8";"2025-02-12";"";"12,19";"1";"";"";""
"44";"9";"2025-02-13";"";"15";"2";"";"3";""
"45";"10";"2025-02-14";"3";"20";"";"";"";""
"46";"";"2025-02-15";"";"";"";"";"";""
"47";"";"2025-02-16";"";"";"";"";"";""
"48";"1";"2025-02-17";"4";"";"";"";"";""
"49";"2";"2025-02-18";"5";"16";"";"";"";""
"50";"3";"2025-02-19";"";"17";"3";"";"";""
"51";"4";"2025-02-20";"";"18";"4";"";"4";""
"52";"5";"2025-02-21";"";"";"5";"";"";""
"53";"";"2025-02-22";"";"";"";"";"";""
"54";"";"2025-02-23";"";"";"";"";"";""
"55";"6";"2025-02-24";"1";"1";"";"";"";""
"56";"7";"2025-02-25";"2";"2";"";"";"";""
"57";"8";"2025-02-26";"";"3";"1";"";"";""
"58";"9";"2025-02-27";"";"4,14";"2";"";"5";""
"59";"10";"2025-02-28";"3";"5";"";"";"";""
"60";"";"2025-03-01";"";"";"";"";"1";""
"61";"";"2025-03-02";"";"";"";"";"";""
"62";"1";"2025-03-03";"4";"6";"";"1,6";"";""
"63";"2";"2025-03-04";"5";"7";"";"2,7";"";""
"64";"3";"2025-03-05";"";"8";"3";"3,8";"";""
"65";"4";"2025-03-06";"";"9";"4";"4,9";"";""
"66";"5";"2025-03-07";"";"13";"5";"5,10";"";""
"67";"";"2025-03-08";"";"";"";"";"";""
"68";"";"2025-03-09";"";"";"";"";"";""
"69";"6";"2025-03-10";"1";"10";"";"";"";""
"70";"7";"2025-03-11";"2";"11";"";"";"";""
"71";"8";"2025-03-12";"";"12,19";"1";"";"";""
"72";"9";"2025-03-13";"";"15";"2";"";"";""
"73";"10";"2025-03-14";"3";"20";"";"";"";""
"74";"";"2025-03-15";"";"";"";"";"";""
"75";"";"2025-03-16";"";"";"";"";"";""
"76";"1";"2025-03-17";"4";"";"";"";"";""
"77";"2";"2025-03-18";"5";"16";"";"";"";""
"78";"3";"2025-03-19";"";"17";"3";"";"";""
"79";"4";"2025-03-20";"";"18";"4";"";"";""
"80";"5";"2025-03-21";"";"";"5";"";"";""
"81";"";"2025-03-22";"";"";"";"";"";""
"82";"";"2025-03-23";"";"";"";"";"";""
"83";"6";"2025-03-24";"1";"1";"";"";"";""
"84";"7";"2025-03-25";"2";"2";"";"";"";""
